separation,tau,defect
46.0,14,0.00010216574993564271
46.0,16,0.005161989408854447
46.0,18,0.084439054814105
46.0,20,0.24338093995259022
46.0,22,0.5232066770300142
46.0,24,0.8000686319638852
46.0,26,1.0738864367306766
46.0,28,1.2944270025689197
46.0,30,1.4187988977771038
46.0,32,1.4767388746069339
46.0,34,1.4985613745653001
46.0,36,1.3960333355961343
46.0,38,1.1834198816739936
46.0,40,1.072370559391642
46.0,42,1.003294251657023
46.0,44,0.9464140280866482
46.0,46,0.9258997315391213
46.0,48,0.9263751298187055
46.0,50,0.9338454994050749
46.0,52,0.9346413642478973
46.0,54,0.9393467242504268
46.0,56,0.9398586611550505
46.0,58,0.9414567044831655
46.0,60,0.9467013254470191
46.0,62,0.9464908848510885
46.0,64,0.941767574143302
46.0,66,0.935367266790673
46.0,68,0.9313712491488504
46.0,70,0.9281633667124657
46.0,72,0.9337554097628249
46.0,74,0.9302844824050988
46.0,76,0.9307965234360491
46.0,78,0.93128452588185
46.0,80,0.9397471936030775
46.0,82,0.9413093223282181
46.0,84,0.9398255223619391
46.0,86,0.944240895284642
46.0,88,0.9428963085784405
46.0,90,0.9356658403724424
46.0,92,0.9266745684879318
46.0,94,0.9313107515498454
46.0,96,0.9311895519064514
46.0,98,0.9381761004969205
46.0,100,0.9345158177870405
46.0,102,0.9338404648577167
46.0,104,0.931888614452167
46.0,106,0.936714055614032
46.0,108,0.9387742345923286
46.0,110,0.9378248904187797
46.0,112,0.9390830488951495
46.0,114,0.9376380064418476
46.0,116,0.9334424513139918
46.0,118,0.9313904337660727
46.0,120,0.9324464023853113
49.0,0,0.0
49.0,2,2.9697611251351285e-16
49.0,4,4.784781971063526e-16
49.0,6,6.013467437054155e-16
49.0,8,7.1177944807573e-16
49.0,10,7.586239115814686e-16
49.0,12,9.043314440243674e-16
49.0,14,1.015386373609517e-15
49.0,16,7.267022639958265e-07
49.0,18,0.0002159976957991495
49.0,20,0.005034526384762184
49.0,22,0.07887236638378596
49.0,24,0.18159304121294384
49.0,26,0.35529262169288905
49.0,28,0.5870685243140249
49.0,30,0.8211115803325832
49.0,32,1.0544543409017864
49.0,34,1.251363976041689
49.0,36,1.3990565051661956
49.0,38,1.4445521136382444
49.0,40,1.3997806944310263
49.0,42,1.3043451877199692
49.0,44,1.3629754067380382
49.0,46,1.4612601096027884
49.0,48,1.5005589364120129
49.0,50,1.4718123192792543
49.0,52,1.3835951205357173
49.0,54,1.2567500416396167
49.0,56,1.1022633322262232
49.0,58,1.0150366477128974
49.0,60,0.9847081902476619
49.0,62,0.9647657786055361
49.0,64,0.9435388430586622
49.0,66,0.9353672667906727
49.0,68,0.9313712491488505
49.0,70,0.9281633667124655
49.0,72,0.9337554097628249
49.0,74,0.9302844824050993
49.0,76,0.9307965234360499
49.0,78,0.9312845258818502
49.0,80,0.939747193603078
49.0,82,0.9413093223282184
49.0,84,0.9398255223619387
49.0,86,0.9442408952846412
49.0,88,0.9428963085784408
49.0,90,0.9356658403724424
49.0,92,0.9266745684879326
49.0,94,0.9313107515498448
49.0,96,0.9311895519064506
49.0,98,0.9381761004969204
49.0,100,0.9345158177870411
49.0,102,0.9338404648577155
49.0,104,0.9318886144521659
49.0,106,0.9367140556140325
49.0,108,0.938774234592332
49.0,110,0.93782489041878
49.0,112,0.939083048895149
49.0,114,0.9376380064418472
49.0,116,0.9334424513139924
49.0,118,0.9313904337660721
49.0,120,0.9324464023853126
52.0,0,0.0
52.0,2,2.7996669840402656e-16
52.0,4,3.841540517781063e-16
52.0,6,4.945752067244795e-16
52.0,8,5.660141685131249e-16
52.0,10,6.142445628918144e-16
52.0,12,7.562562796735109e-16
52.0,14,8.826690557445471e-16
52.0,16,1.1432081794013867e-15
52.0,18,2.542666319404473e-06
52.0,20,0.00027902111927044623
52.0,22,0.005208621686513339
52.0,24,0.0884829596086167
52.0,26,0.14863415843716377
52.0,28,0.2650931778597833
52.0,30,0.44279121305834906
52.0,32,0.6788584569151205
52.0,34,0.90323228808698
52.0,36,1.1505861705045501
52.0,38,1.3424148535843354
52.0,40,1.4389484873764793
52.0,42,1.437376010181823
52.0,44,1.3748911518055085
52.0,46,1.248589865883962
52.0,48,1.192293810951603
52.0,50,1.1407239346476978
52.0,52,0.9651412137536476
52.0,54,0.9602317404985576
